2714074500, 대구광역시, 동구, 안심3.4동
4311251000, 충청북도, 청주시서원구, 사직1동
4311252000, 충청북도, 청주시서원구, 사직2동
4311253000, 충청북도, 청주시서원구, 사창동
4311254000, 충청북도, 청주시서원구, 모충동
4311255000, 충청북도, 청주시서원구, 산남동
4311256000, 충청북도, 청주시서원구, 분평동
4311257000, 충청북도, 청주시서원구, 수곡1동
4311258000, 충청북도, 청주시서원구, 수곡2동
4311259000, 충청북도, 청주시서원구, 성화.개신.죽림동
4311300000, 충청북도, 청주시흥덕구, 
4311325000, 충청북도, 청주시흥덕구, 오송읍
4311331000, 충청북도, 청주시흥덕구, 강내면
4311332000, 충청북도, 청주시흥덕구, 옥산면
4311370000, 충청북도, 청주시흥덕구, 운천.신봉동
4311374100, 충청북도, 청주시흥덕구, 복대1동
4311374200, 충청북도, 청주시흥덕구, 복대2동
4311374700, 충청북도, 청주시흥덕구, 가경동
4311375100, 충청북도, 청주시흥덕구, 봉명1동
4311375600, 충청북도, 청주시흥덕구, 봉명2.송정동
4311376000, 충청북도, 청주시흥덕구, 강서제1동
4311377000, 충청북도, 청주시흥덕구, 강서제2동
4311400000, 충청북도, 청주시청원구, 
4311425000, 충청북도, 청주시청원구, 내수읍
4311425300, 충청북도, 청주시청원구, 오창읍
4311431000, 충청북도, 청주시청원구, 북이면
4311451000, 충청북도, 청주시청원구, 우암동
4311452000, 충청북도, 청주시청원구, 내덕1동
4311453000, 충청북도, 청주시청원구, 내덕2동
4311454000, 충청북도, 청주시청원구, 율량.사천동
4311455000, 충청북도, 청주시청원구, 오근장동
4413100000, 충청남도, 천안시동남구, 
4413125000, 충청남도, 천안시동남구, 목천읍
4413131000, 충청남도, 천안시동남구, 풍세면
4413132000, 충청남도, 천안시동남구, 광덕면
4413133000, 충청남도, 천안시동남구, 북면
4413134000, 충청남도, 천안시동남구, 성남면
4413135000, 충청남도, 천안시동남구, 수신면
4413136000, 충청남도, 천안시동남구, 병천면
4413137000, 충청남도, 천안시동남구, 동면
4413151000, 충청남도, 천안시동남구, 중앙동
4413152000, 충청남도, 천안시동남구, 문성동
4413153000, 충청남도, 천안시동남구, 원성1동
4413154000, 충청남도, 천안시동남구, 원성2동
4413155000, 충청남도, 천안시동남구, 봉명동
4413156000, 충청남도, 천안시동남구, 일봉동
4413157000, 충청남도, 천안시동남구, 신방동
4413158000, 충청남도, 천안시동남구, 청룡동
4413159000, 충청남도, 천안시동남구, 신안동
4413300000, 충청남도, 천안시서북구, 
4413325000, 충청남도, 천안시서북구, 성환읍
4413325300, 충청남도, 천안시서북구, 성거읍
4413325600, 충청남도, 천안시서북구, 직산읍
4413331000, 충청남도, 천안시서북구, 입장면
4413351000, 충청남도, 천안시서북구, 성정1동
4413352000, 충청남도, 천안시서북구, 성정2동
4413353000, 충청남도, 천안시서북구, 쌍용1동
4413354000, 충청남도, 천안시서북구, 쌍용2동
4413355000, 충청남도, 천안시서북구, 쌍용3동
4413356000, 충청남도, 천안시서북구, 백석동
4413356500, 충청남도, 천안시서북구, 불당동
4413358000, 충청남도, 천안시서북구, 부성1동
4413359000, 충청남도, 천안시서북구, 부성2동
4511100000, 전라북도, 전주시완산구, 
4511151000, 전라북도, 전주시완산구, 중앙동
4511153000, 전라북도, 전주시완산구, 풍남동
4511160500, 전라북도, 전주시완산구, 노송동
4511163500, 전라북도, 전주시완산구, 완산동
4511165000, 전라북도, 전주시완산구, 동서학동
4511166000, 전라북도, 전주시완산구, 서서학동
4511167100, 전라북도, 전주시완산구, 중화산1동
4511167200, 전라북도, 전주시완산구, 중화산2동
4511168000, 전라북도, 전주시완산구, 서신동
4511169100, 전라북도, 전주시완산구, 평화1동
4511169200, 전라북도, 전주시완산구, 평화2동
4511170100, 전라북도, 전주시완산구, 삼천1동
4511170200, 전라북도, 전주시완산구, 삼천2동
4511170300, 전라북도, 전주시완산구, 삼천3동
4511171100, 전라북도, 전주시완산구, 효자1동
4511171200, 전라북도, 전주시완산구, 효자2동
4511171300, 전라북도, 전주시완산구, 효자3동
4511171400, 전라북도, 전주시완산구, 효자4동
4511173000, 전라북도, 전주시완산구, 효자5동
4511300000, 전라북도, 전주시덕진구, 
4511352500, 전라북도, 전주시덕진구, 진북동
4511354000, 전라북도, 전주시덕진구, 인후1동
4511355000, 전라북도, 전주시덕진구, 인후2동
4511356000, 전라북도, 전주시덕진구, 인후3동
4511357000, 전라북도, 전주시덕진구, 덕진동
4511358000, 전라북도, 전주시덕진구, 금암1동
4511359000, 전라북도, 전주시덕진구, 금암2동
4511360000, 전라북도, 전주시덕진구, 팔복동
4511361100, 전라북도, 전주시덕진구, 우아1동
4511361200, 전라북도, 전주시덕진구, 우아2동
4511362000, 전라북도, 전주시덕진구, 호성동
4511364100, 전라북도, 전주시덕진구, 송천1동
4511364200, 전라북도, 전주시덕진구, 송천2동
4511365000, 전라북도, 전주시덕진구, 조촌동
4511366500, 전라북도, 전주시덕진구, 여의동
4511367000, 전라북도, 전주시덕진구, 혁신동
4711100000, 경상북도, 포항시남구, 
4711125000, 경상북도, 포항시남구, 구룡포읍
4711125300, 경상북도, 포항시남구, 연일읍
4711125600, 경상북도, 포항시남구, 오천읍
4711131000, 경상북도, 포항시남구, 대송면
4711132000, 경상북도, 포항시남구, 동해면
4711133000, 경상북도, 포항시남구, 장기면
4711135000, 경상북도, 포항시남구, 호미곶면
4711152500, 경상북도, 포항시남구, 상대동
4711154500, 경상북도, 포항시남구, 해도동
4711155000, 경상북도, 포항시남구, 송도동
4711156000, 경상북도, 포항시남구, 청림동
4711157000, 경상북도, 포항시남구, 제철동
4711158000, 경상북도, 포항시남구, 효곡동
4711159000, 경상북도, 포항시남구, 대이동
4711300000, 경상북도, 포항시북구, 
4711325000, 경상북도, 포항시북구, 흥해읍
4711331000, 경상북도, 포항시북구, 신광면
4711332000, 경상북도, 포항시북구, 청하면
4711333000, 경상북도, 포항시북구, 송라면
4711334000, 경상북도, 포항시북구, 기계면
4711335000, 경상북도, 포항시북구, 죽장면
4711336000, 경상북도, 포항시북구, 기북면
4711352000, 경상북도, 포항시북구, 중앙동
4711363000, 경상북도, 포항시북구, 양학동
4711365500, 경상북도, 포항시북구, 죽도동
4711366500, 경상북도, 포항시북구, 용흥동
4711368000, 경상북도, 포항시북구, 우창동
4711369000, 경상북도, 포항시북구, 두호동
4711370000, 경상북도, 포항시북구, 장량동
4711371000, 경상북도, 포항시북구, 환여동
4794033000, 경상북도, 울릉군, 독도
4812556500, 경상남도, 창원시 마산합포구, 중앙동
5013025000, 제주특별자치도, 서귀포시, 대정읍/마라도포함
5019000000, 이어도, , 
5019099000, 이어도, , 
